id;title;description;local_image_path;annotated_image_path;manual_person_count;important_figure;notes
97152;Procession of the Magi;This work was not originally hung on a wall or displayed as part of an altarpiece. It is believed to have formed a panel on a cassone, a storage chest for clothing. This panel may have been part of a travel chest, which was usually less lavish than those meant to be used in the home. The subject, the Procession of the Magi, was commonly used for travel chests.;/home/micah/Thesis/Images/Pilot Images/Plain images/1.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/1.jpg;12;;
97171;Adoration of the Shepherds ;The artist has set Christ's birth in a ruined stable, witnessed by shepherds and angels. The candle Joseph holds symbolizes the supremacy of Christ's divine radiance over earthly light. Beyond the overgrown arch of the dilapidated structure an angel announces Christ's birth to shepherds in the field. Schäufelein based his picture on the Paumgartner Nativity, a painting (now preserved in Munich) by his teacher, Albrecht Dürer. Schäufelein was born in Nuremberg, probably studied under Wohlgemut, and then became the assistant of Dürer, whose style he imitated.;/home/micah/Thesis/Images/Pilot Images/Plain images/2.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/2.jpg;9;;
111435;Coronation of the Virgin ;"This panel once formed the left wing of an altarpiece originally located in a Cistercian convent in the German town of Fröndenberg. The Coronation of the Virgin was a common subject; though it is not based on a biblical text it often appeared in medieval books of hours as a focus of contemplation. It represents the culminating event in the life of Mary. Here, Christ and the Virgin are housed in an architectural setting; the Virgin kneels before Christ as he crowns her in the company of a group of angels. The color palette is particularly rich: pink, deep red, blue, and a delicate green as well as large areas of gold leaf. The well-developed, proportional figures, modeled drapery, and detailed architectural throne suggest an artist with a high level of experience and sophistication.";/home/micah/Thesis/Images/Pilot Images/Plain images/3.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/3.jpg;10;;
115394;Adoration of the Magi ;Laib was a German painter who spent most of his career in Austria. Proof that he came to Salzburg at an early age is suggested by the stylistic affinity of many of his works with Salzburg painting, including this one.;/home/micah/Thesis/Images/Pilot Images/Plain images/4.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/4.jpg;5;;
117032;The Sacrifice of Isaac ;In this dramatic test of faith from the Old Testament book of Genesis, Abraham agrees to slay his son Isaac on God’s command. As Abraham raises the knife, an angel suddenly appears to halt the sacrifice. This work gains its power from the complex expressions of father and son, combining grief, strength, resignation, fear, and realization in their faces and bodies, the latter inspired by ancient sculpture and Michelangelo. Andrea del Sarto never finished this painting, and it lays bare his working methods. He transferred the design to the panel from a drawing, reinforcing the chalk with painted lines—best seen in the donkey at the far right. He then worked over the whole panel at once with thin, brushy veils of color, letting him alter the composition while painting—especially evident in the angel, Isaac’s body, and Abraham’s head.;/home/micah/Thesis/Images/Pilot Images/Plain images/5.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/5.jpg;4;;
118679;Lazarus and the Rich Man ;The Biblical parable of Lazarus and the Rich Man (Luke 16:19-21) tells of a man who feasted and celebrated every day, while a beggar named Lazarus sat starving nearby. Dogs came to lick the sores on the poor man's body. However, when the two men died, Lazarus was welcomed into heaven, while the rich man was consigned to hell.;/home/micah/Thesis/Images/Pilot Images/Plain images/6.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/6.jpg;5;;
120996;The Adoration of the Magi ;This small winged altarpiece, called a triptych, was undoubtedly made for private use. The donor and his wife are shown in the lower central scene kneeling before the Virgin, her mother Saint Anne, and the Christ child. Above is the Epiphany with the Three Kings presenting gifts to a tightly swaddled Christ.;/home/micah/Thesis/Images/Pilot Images/Plain images/7.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/7.jpg;10;;
122223;The Adoration of the Magi;According to the Gospel of Matthew, three Magi, guided by a star, found the newborn Christ and laid gifts before him. Artists throughout the 15th century elaborated considerably upon this biblical account, devoting particular attention to the Magi’s entourage, which gave them an opportunity to depict the splendor of contemporary aristocratic life. Here, the Magi solemnly honor the divine child in the Virgin’s arms, while their bustling retinue of courtiers and animals provides an exuberant visual diversion. Di Paolo was one of the leading painters in 15th-century Siena, noted both for his manuscript illuminations and painted panels supplied to the city’s churches.;/home/micah/Thesis/Images/Pilot Images/Plain images/8.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/8.jpg;18;;
122338;The Annunciation ;The scene of the Annunciation to Mary that she will give birth to Christ is depicted here as a contemporary scene that may have been familiar to any viewer at the end of the 1400s. Mary is portrayed as an ordinary but wealthy woman who is interrupted by the Archangel Gabriel as she reads a book of hours. This type of book was enormously popular in the late Middle Ages as a prayer and devotional book, particularly among the wealthy, literate nobility, and city aristocracy.;/home/micah/Thesis/Images/Pilot Images/Plain images/9.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/9.jpg;2;;
122339;Virgin and Child with Saints and Donors ;This work reinterprets the most common subject in Renaissance art—the Madonna and Child. The tender relationship of mother and son spoke to Mary’s role as intercessor for humanity, sparked an empathetic relationship with Christ, and helped invest Christian practice with tenderness and compassion. Works at this scale were usually for private devotion, but distinct styles and refined craftsmanship were also appreciated for their artistry and creativity. Here the donors occupy the same landscape as the holy figures, emphasizing how Mary’s compassion extends into our world. This painting was never finished, visible in Saint Anthony Abbot’s beard and the female saint’s empty hand, which makes her identity impossible to pin down.;/home/micah/Thesis/Images/Pilot Images/Plain images/10.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/10.jpg;6;;
124076;Coronation of the Virgin ;"This picture’s original use is uncertain. Its size and shape are appropriate for a predella (the pedestal portion of an altarpiece), which often consists of several small panels. However, the Coronation of the Virgin almost never appears on predellas. The panel’s minute detail and rich finish suggest it may have been an object for private devotion. This is believed to be an early work by Fra Angelico, whose real name was Guido di Pietro, a Dominican monk in Florence. Here, an angel holds the Virgin’s train while she kneels to receive the crown offered by Christ. The scene glimmers with gold; the thrones are draped with starry tapestries, the walls are hung with gold cloth, and Christ himself radiates light.";/home/micah/Thesis/Images/Pilot Images/Plain images/11.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/11.jpg;3;;
